status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	task_id	host_name	sh_path	workload
0	0.000858	0.000829	0.000000	3372	0	lenny	bash	hello-world
0	0.016083	0.016787	0.000000	4928	1	lenny	bash	abuild-print-help
0	14.491375	11.200081	3.721981	26724	2	lenny	bash	configure.cpython
0	4.094944	2.309499	0.833298	20772	3	lenny	bash	configure.ocaml
0	0.045331	0.030383	0.015808	20072	4	lenny	bash	configure.tcc
0	1.745439	1.308959	0.454343	24024	5	lenny	bash	configure.yash
0	0.000604	0.000000	0.000573	1736	6	lenny	dash	hello-world
0	0.008398	0.007375	0.001418	4064	7	lenny	dash	abuild-print-help
0	15.607559	12.171385	3.969259	26844	8	lenny	dash	configure.cpython
0	3.997018	2.232355	0.805250	20784	9	lenny	dash	configure.ocaml
0	0.036726	0.027436	0.009810	20052	10	lenny	dash	configure.tcc
0	1.465283	1.133133	0.343121	24256	11	lenny	dash	configure.yash
0	0.052824	0.043599	0.009257	16628	12	lenny	bin/osh	hello-world
0	0.591720	0.564552	0.030288	22000	13	lenny	bin/osh	abuild-print-help
0	32.072495	23.521036	10.793849	35180	14	lenny	bin/osh	configure.cpython
0	4.312113	2.588452	0.888449	20820	15	lenny	bin/osh	configure.ocaml
0	0.193084	0.183273	0.013090	20072	16	lenny	bin/osh	configure.tcc
0	2.581966	1.968471	0.685218	24124	17	lenny	bin/osh	configure.yash
0	0.001922	0.001884	0.000000	6464	18	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.19.0/_bin/cxx-opt-sh/osh	hello-world
0	0.019192	0.013984	0.006086	9612	19	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.19.0/_bin/cxx-opt-sh/osh	abuild-print-help
0	17.133496	13.051852	4.676771	26780	20	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.19.0/_bin/cxx-opt-sh/osh	configure.cpython
0	4.015961	2.267661	0.811443	20784	21	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.19.0/_bin/cxx-opt-sh/osh	configure.ocaml
0	0.049010	0.030950	0.019370	20112	22	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.19.0/_bin/cxx-opt-sh/osh	configure.tcc
0	1.728805	1.290900	0.463019	24100	23	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.19.0/_bin/cxx-opt-sh/osh	configure.yash
