job_id	host_name	host_hash	sh_path	shell_hash
2025-06-24__16-16-27	hoover	ecba003d	bash	36833674
2025-06-24__16-16-27	hoover	ecba003d	dash	cea41b3e
2025-06-24__16-16-27	hoover	ecba003d	mksh	5acb0439
2025-06-24__16-16-27	hoover	ecba003d	zsh	66d12f9f
2025-06-24__16-16-27	hoover	ecba003d	bin/osh	475126b2
2025-06-24__16-16-27	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/_tmp/oils-ref-tar-test/oils-ref-0.32.0/_bin/osh	b332fc44
2025-06-24__16-16-27	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.32.0/_bin/cxx-opt-sh/osh	edd4459d
2025-06-24__16-16-27	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.32.0/_bin/cxx-opt-sh/mycpp-souffle/osh	d2b75992
2025-06-24__16-16-27	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.32.0/_bin/cxx-opt-sh/osh-static	e68324ab
2025-06-24__16-16-27	hoover	ecba003d	python2	c702e940
