host_name	join_id	num_live	max_survived	num_allocated	num_in_heap	num_in_pool_1	num_in_pool_2	bytes_allocated	num_gc_points	num_collections	gc_threshold	num_growths	max_gc_millis	total_gc_millis	roots_capacity	objs_capacity
lenny	gc-16	3977	0	3977	728	1975	1274	257340	2	0	50000	0	0.0	0.0	1024	10240
lenny	gc-17	14947	3026	155980	17804	73447	64729	5032581	3008	3	50000	0	0.0	0.0	1024	10240
lenny	gc-18	25833	24756	1793045	100718	888527	803800	26634868	27006	63	50000	0	0.0	0.0	1024	10240
lenny	gc-19	76831	66379	2831802	132933	1355568	1343301	31292179	36335	44	132758	1	0.0	0.0	1024	10240
lenny	gc-20	42623	5334	136033	7443	64411	64179	2886354	1422	2	50000	0	0.0	0.0	1024	10240
lenny	gc-21	30844	0	30844	1750	14684	14410	1384263	271	0	50000	0	0.0	0.0	1024	10240
lenny	gc-22	8261	6818	140601	7689	68688	64224	3204766	2095	3	50000	0	0.0	0.0	1024	10240
lenny	gc-23	65872	42056	117471	4999	54825	57647	3021748	277	3	84112	1	0.0	0.0	1024	10240
lenny	gc-24	3977	0	3977	728	1975	1274	257419	2	0	50000	0	0.0	0.0	1024	10240
lenny	gc-25	14947	3026	155980	17804	73447	64729	5032660	3008	3	50000	0	0.0	0.0	1024	10240
lenny	gc-26	25833	24756	1793045	100718	888527	803800	26634948	27006	63	50000	0	0.0	0.0	1024	10240
lenny	gc-27	76831	66379	2831801	132933	1355568	1343300	31291913	36335	44	132758	1	0.0	0.0	1024	10240
lenny	gc-28	42623	5334	136033	7443	64411	64179	2886435	1422	2	50000	0	0.0	0.0	1024	10240
lenny	gc-29	30844	0	30844	1750	14684	14410	1384344	271	0	50000	0	0.0	0.0	1024	10240
lenny	gc-30	8261	6818	140601	7689	68688	64224	3204853	2095	3	50000	0	0.0	0.0	1024	10240
lenny	gc-31	65872	42056	117471	4999	54825	57647	3021829	277	3	84112	1	0.0	0.0	1024	10240
