job_id	host_name	host_hash	sh_path	shell_hash
2025-07-16__21-31-36	hoover	ecba003d	bash	36833674
2025-07-16__21-31-36	hoover	ecba003d	dash	cea41b3e
2025-07-16__21-31-36	hoover	ecba003d	mksh	5acb0439
2025-07-16__21-31-36	hoover	ecba003d	zsh	66d12f9f
2025-07-16__21-31-36	hoover	ecba003d	bin/osh	196062d5
2025-07-16__21-31-36	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/_tmp/oils-ref-tar-test/oils-ref-0.34.0/_bin/osh	cc198fce
2025-07-16__21-31-36	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.34.0/_bin/cxx-opt-sh/osh	3765d121
2025-07-16__21-31-36	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.34.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	5f837707
2025-07-16__21-31-36	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.34.0/_bin/cxx-opt-sh/osh-static	258a5b00
2025-07-16__21-31-36	hoover	ecba003d	python2	c702e940
