host_name	join_id	num_live	max_survived	num_allocated	num_in_heap	num_in_pool_1	num_in_pool_2	bytes_allocated	num_gc_points	num_collections	gc_threshold	num_growths	max_gc_millis	total_gc_millis	roots_capacity	objs_capacity
hoover	gc-16	4082	0	4082	729	2055	1298	276259	2	0	50000	0	0.0	0.0	1024	10240
hoover	gc-17	22279	3112	163074	14802	77523	70749	4884391	3008	3	50000	0	0.0	0.0	1024	10240
hoover	gc-18	27697	29289	1836422	84007	918970	833445	25005012	26514	65	50000	0	0.0	0.0	1024	10240
hoover	gc-19	56671	66823	2793663	111256	1342429	1339978	28336991	34470	44	133646	1	0.0	0.0	1024	10240
hoover	gc-20	45164	4498	136841	7406	64423	65012	3066276	1420	2	50000	0	0.0	0.0	1024	10240
hoover	gc-21	31105	0	31105	1635	14919	14551	1372617	271	0	50000	0	0.0	0.0	1024	10240
hoover	gc-22	9681	6805	141266	7093	68890	65283	3140928	2094	3	50000	0	0.0	0.0	1024	10240
hoover	gc-23	66015	42198	117622	4969	54956	57697	3008405	277	3	84396	1	0.0	0.0	1024	10240
hoover	gc-24	4082	0	4082	729	2055	1298	276339	2	0	50000	0	0.0	0.0	1024	10240
hoover	gc-25	22279	3112	163074	14802	77523	70749	4884471	3008	3	50000	0	0.0	0.0	1024	10240
hoover	gc-26	27697	29289	1836422	84007	918970	833445	25005092	26514	65	50000	0	0.0	0.0	1024	10240
hoover	gc-27	56671	66823	2793662	111255	1342429	1339978	28336670	34470	44	133646	1	0.0	0.0	1024	10240
hoover	gc-28	45164	4498	136841	7406	64423	65012	3066356	1420	2	50000	0	0.0	0.0	1024	10240
hoover	gc-29	31105	0	31105	1635	14919	14551	1372697	271	0	50000	0	0.0	0.0	1024	10240
hoover	gc-30	9681	6805	141266	7093	68890	65283	3141008	2094	3	50000	0	0.0	0.0	1024	10240
hoover	gc-31	66015	42198	117622	4969	54956	57697	3008485	277	3	84396	1	0.0	0.0	1024	10240
