status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	task_id	host_name	sh_path	workload
0	0.000710	0.000676	0.000000	3188	0	lenny	bash	hello-world
0	0.014262	0.014377	0.000584	4760	1	lenny	bash	abuild-print-help
0	15.082611	11.602551	3.956686	26788	2	lenny	bash	configure.cpython
0	3.940428	2.202491	0.796785	20904	3	lenny	bash	configure.ocaml
0	0.053378	0.045308	0.009003	20096	4	lenny	bash	configure.tcc
0	1.667248	1.238446	0.443769	24068	5	lenny	bash	configure.yash
0	0.000410	0.000377	0.000000	1592	6	lenny	dash	hello-world
0	0.006538	0.006868	0.000000	3904	7	lenny	dash	abuild-print-help
0	15.412926	11.966263	3.973581	26588	8	lenny	dash	configure.cpython
0	3.997505	2.240127	0.793380	20788	9	lenny	dash	configure.ocaml
0	0.062698	0.043185	0.020320	19948	10	lenny	dash	configure.tcc
0	1.490354	1.133278	0.368382	24176	11	lenny	dash	configure.yash
0	0.059558	0.021678	0.037036	16796	12	lenny	bin/osh	hello-world
0	0.570663	0.541693	0.031959	22092	13	lenny	bin/osh	abuild-print-help
0	32.091443	23.330629	11.049107	35392	14	lenny	bin/osh	configure.cpython
0	4.158088	2.450236	0.863511	20804	15	lenny	bin/osh	configure.ocaml
0	0.184393	0.152203	0.035524	20080	16	lenny	bin/osh	configure.tcc
0	2.580026	1.996518	0.656489	24156	17	lenny	bin/osh	configure.yash
0	0.002138	0.000000	0.002052	6280	18	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.18.0/_bin/cxx-opt-sh/osh	hello-world
0	0.020602	0.021030	0.000495	9448	19	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.18.0/_bin/cxx-opt-sh/osh	abuild-print-help
0	17.277016	13.205380	4.739117	26548	20	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.18.0/_bin/cxx-opt-sh/osh	configure.cpython
0	4.160665	2.340076	0.888398	20792	21	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.18.0/_bin/cxx-opt-sh/osh	configure.ocaml
0	0.057737	0.039602	0.019569	20048	22	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.18.0/_bin/cxx-opt-sh/osh	configure.tcc
0	1.712244	1.297048	0.440676	24096	23	lenny	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.18.0/_bin/cxx-opt-sh/osh	configure.yash
