host_name	join_id	num_live	max_survived	num_allocated	num_in_heap	num_in_pool_1	num_in_pool_2	bytes_allocated	num_gc_points	num_collections	gc_threshold	num_growths	max_gc_millis	total_gc_millis	roots_capacity	objs_capacity
hoover	gc-16	4090	0	4090	732	2058	1300	276788	2	0	50000	0	0.0	0.0	1024	10240
hoover	gc-17	15244	3114	156085	17807	73529	64749	5035640	3008	3	50000	0	0.0	0.0	1024	10240
hoover	gc-18	42627	29090	1773743	99670	879566	794507	26492723	26514	62	50000	0	0.0	0.0	1024	10240
hoover	gc-19	42186	66493	2767051	128829	1324500	1313722	30221886	34470	43	132986	1	0.0	0.0	1024	10240
hoover	gc-20	42922	5421	136206	7654	64445	64107	3123482	1420	2	50000	0	0.0	0.0	1024	10240
hoover	gc-21	30930	0	30930	1747	14765	14418	1384215	271	0	50000	0	0.0	0.0	1024	10240
hoover	gc-22	8321	6906	140472	7663	68708	64101	3204037	2094	3	50000	0	0.0	0.0	1024	10240
hoover	gc-23	65960	42144	117573	5000	54907	57666	3021782	277	3	84288	1	0.0	0.0	1024	10240
hoover	gc-24	4090	0	4090	732	2058	1300	276868	2	0	50000	0	0.0	0.0	1024	10240
hoover	gc-25	15244	3114	156085	17807	73529	64749	5035720	3008	3	50000	0	0.0	0.0	1024	10240
hoover	gc-26	42627	29090	1773743	99670	879566	794507	26492803	26514	62	50000	0	0.0	0.0	1024	10240
hoover	gc-27	42186	66493	2767050	128828	1324500	1313722	30221565	34470	43	132986	1	0.0	0.0	1024	10240
hoover	gc-28	42922	5421	136206	7654	64445	64107	3123562	1420	2	50000	0	0.0	0.0	1024	10240
hoover	gc-29	30930	0	30930	1747	14765	14418	1384295	271	0	50000	0	0.0	0.0	1024	10240
hoover	gc-30	8321	6906	140472	7663	68708	64101	3204117	2094	3	50000	0	0.0	0.0	1024	10240
hoover	gc-31	65960	42144	117573	5000	54907	57666	3021862	277	3	84288	1	0.0	0.0	1024	10240
