job_id	host_name	host_hash	sh_path	shell_hash
2025-06-25__20-16-38	hoover	ecba003d	bash	36833674
2025-06-25__20-16-38	hoover	ecba003d	dash	cea41b3e
2025-06-25__20-16-38	hoover	ecba003d	mksh	5acb0439
2025-06-25__20-16-38	hoover	ecba003d	zsh	66d12f9f
2025-06-25__20-16-38	hoover	ecba003d	bin/osh	177f2fcd
2025-06-25__20-16-38	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/_tmp/oils-ref-tar-test/oils-ref-0.33.0/_bin/osh	1aae7f43
2025-06-25__20-16-38	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.33.0/_bin/cxx-opt-sh/osh	7cbf04fb
2025-06-25__20-16-38	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.33.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	90a177bb
2025-06-25__20-16-38	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.33.0/_bin/cxx-opt-sh/osh-static	4de6c769
2025-06-25__20-16-38	hoover	ecba003d	python2	c702e940
