job_id	host_name	host_hash	sh_path	shell_hash
2025-08-30__18-30-42	lenny	1ff4d011	bash	f4a82186
2025-08-30__18-30-42	lenny	1ff4d011	dash	f5780e2f
2025-08-30__18-30-42	lenny	1ff4d011	mksh	11284043
2025-08-30__18-30-42	lenny	1ff4d011	zsh	d0c4af83
2025-08-30__18-30-42	lenny	1ff4d011	bin/osh	e3b0cd05
2025-08-30__18-30-42	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/_tmp/oils-ref-tar-test/oils-ref-0.35.0/_bin/osh	abc6db8f
2025-08-30__18-30-42	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.35.0/_bin/cxx-opt-sh/osh	286712c9
2025-08-30__18-30-42	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.35.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	e835747b
2025-08-30__18-30-42	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.35.0/_bin/cxx-opt-sh/osh-static	ea64404f
2025-08-30__18-30-42	lenny	1ff4d011	python2	31dd8d0b
