host_name	join_id	num_live	max_survived	num_allocated	num_in_heap	num_in_pool_1	num_in_pool_2	bytes_allocated	num_gc_points	num_collections	gc_threshold	num_growths	max_gc_millis	total_gc_millis	roots_capacity	objs_capacity
lenny	gc-16	3976	0	3976	728	1975	1273	257339	2	0	50000	0	0.0	0.0	1024	10240
lenny	gc-17	14947	3026	155979	17804	73447	64728	5032580	3008	3	50000	0	0.0	0.0	1024	10240
lenny	gc-18	25833	24756	1793044	100717	888527	803800	26634813	27006	63	50000	0	0.0	0.0	1024	10240
lenny	gc-19	76831	66379	2831801	132934	1355568	1343299	31292234	36335	44	132758	1	0.0	0.0	1024	10240
lenny	gc-20	42623	5334	136032	7443	64411	64178	2886355	1422	2	50000	0	0.0	0.0	1024	10240
lenny	gc-21	30843	0	30843	1750	14684	14409	1384264	271	0	50000	0	0.0	0.0	1024	10240
lenny	gc-22	8261	6818	140600	7689	68688	64223	3204773	2095	3	50000	0	0.0	0.0	1024	10240
lenny	gc-23	65872	42056	117470	4999	54825	57646	3021749	277	3	84112	1	0.0	0.0	1024	10240
lenny	gc-24	3976	0	3976	728	1975	1273	257420	2	0	50000	0	0.0	0.0	1024	10240
lenny	gc-25	14947	3026	155979	17804	73447	64728	5032661	3008	3	50000	0	0.0	0.0	1024	10240
lenny	gc-26	25833	24756	1793044	100718	888527	803799	26634948	27006	63	50000	0	0.0	0.0	1024	10240
lenny	gc-27	76831	66379	2831800	132933	1355568	1343299	31291913	36335	44	132758	1	0.0	0.0	1024	10240
lenny	gc-28	42623	5334	136032	7443	64411	64178	2886435	1422	2	50000	0	0.0	0.0	1024	10240
lenny	gc-29	30843	0	30843	1750	14684	14409	1384344	271	0	50000	0	0.0	0.0	1024	10240
lenny	gc-30	8261	6818	140600	7689	68688	64223	3204853	2095	3	50000	0	0.0	0.0	1024	10240
lenny	gc-31	65872	42056	117470	4999	54825	57646	3021829	277	3	84112	1	0.0	0.0	1024	10240
