status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	task_id	host_name	sh_path	workload
0	0.002135	0.002068	0.000000	3252	0	broome	bash	hello-world
0	0.037809	0.033780	0.005492	4720	1	broome	bash	abuild-print-help
0	26.841575	19.577529	8.000428	26596	2	broome	bash	configure.cpython
0	7.963360	3.807717	1.421980	20744	3	broome	bash	configure.ocaml
0	0.089050	0.053826	0.036358	19996	4	broome	bash	configure.tcc
0	3.087904	2.193197	0.912814	24016	5	broome	bash	configure.yash
0	0.001153	0.001122	0.000000	1612	6	broome	dash	hello-world
0	0.018095	0.014720	0.003948	3944	7	broome	dash	abuild-print-help
0	26.885122	19.912152	7.885220	26648	8	broome	dash	configure.cpython
0	6.039544	3.618576	1.459657	20836	9	broome	dash	configure.ocaml
0	0.080907	0.060103	0.021421	20024	10	broome	dash	configure.tcc
0	3.016499	2.090347	0.927768	24024	11	broome	dash	configure.yash
0	0.069325	0.049324	0.019868	16372	12	broome	bin/osh	hello-world
0	0.747026	0.697641	0.055390	23992	13	broome	bin/osh	abuild-print-help
0	63.818640	42.394859	25.776931	48904	14	broome	bin/osh	configure.cpython
0	7.820288	5.149233	2.076568	20760	15	broome	bin/osh	configure.ocaml
0	0.358996	0.288193	0.077586	19956	16	broome	bin/osh	configure.tcc
0	4.632453	3.463302	1.286031	23972	17	broome	bin/osh	configure.yash
0	0.003617	0.003553	0.000000	4384	18	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.1/_bin/cxx-opt-sh/osh_eval.stripped	hello-world
0	0.099193	0.083444	0.017293	14720	19	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.1/_bin/cxx-opt-sh/osh_eval.stripped	abuild-print-help
0	39.581800	26.638692	14.674121	45604	20	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.1/_bin/cxx-opt-sh/osh_eval.stripped	configure.cpython
0	6.283529	3.772987	1.614537	20812	21	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.1/_bin/cxx-opt-sh/osh_eval.stripped	configure.ocaml
0	0.092321	0.064776	0.029371	20016	22	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.1/_bin/cxx-opt-sh/osh_eval.stripped	configure.tcc
0	3.234834	2.305004	0.972967	24144	23	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.1/_bin/cxx-opt-sh/osh_eval.stripped	configure.yash
