host_name	join_id	num_live	max_survived	num_allocated	num_in_heap	num_in_pool_1	num_in_pool_2	bytes_allocated	num_gc_points	num_collections	gc_threshold	num_growths	max_gc_millis	total_gc_millis	roots_capacity	objs_capacity
lenny	gc-16	3968	0	3968	725	1972	1271	256812	2	0	50000	0	0.0	0.0	1024	10240
lenny	gc-17	21963	3018	162968	14799	77441	70728	4881333	3008	3	50000	0	0.0	0.0	1024	10240
lenny	gc-18	40278	26974	1856006	84968	928036	843002	25007556	27006	65	50000	0	0.0	0.0	1024	10240
lenny	gc-19	100341	66701	2858049	114894	1373223	1369932	29353072	36335	44	133402	1	0.0	0.0	1024	10240
lenny	gc-20	44870	4411	136674	7196	64391	65087	2845574	1422	2	50000	0	0.0	0.0	1024	10240
lenny	gc-21	31018	0	31018	1638	14838	14542	1372667	271	0	50000	0	0.0	0.0	1024	10240
lenny	gc-22	9534	6711	141394	7119	68869	65406	3158039	2095	3	50000	0	0.0	0.0	1024	10240
lenny	gc-23	65921	42104	117519	4968	54874	57677	3008373	277	3	84208	1	0.0	0.0	1024	10240
lenny	gc-24	3968	0	3968	725	1972	1271	256892	2	0	50000	0	0.0	0.0	1024	10240
lenny	gc-25	21968	3023	162968	14799	77441	70728	4881413	3008	3	50000	0	0.0	0.0	1024	10240
lenny	gc-26	40302	26998	1856006	84968	928036	843002	25007636	27006	65	50000	0	0.0	0.0	1024	10240
lenny	gc-27	100356	66708	2858048	114892	1373223	1369933	29352696	36335	44	133416	1	0.0	0.0	1024	10240
lenny	gc-28	44876	4420	136674	7196	64391	65087	2845654	1422	2	50000	0	0.0	0.0	1024	10240
lenny	gc-29	31018	0	31018	1638	14838	14542	1372747	271	0	50000	0	0.0	0.0	1024	10240
lenny	gc-30	9539	6716	141394	7119	68869	65406	3158119	2095	3	50000	0	0.0	0.0	1024	10240
lenny	gc-31	65926	42109	117519	4968	54874	57677	3008453	277	3	84218	1	0.0	0.0	1024	10240
