job_id	host_name	host_hash	sh_path	shell_hash
2025-06-25__19-44-02	lenny	1ff4d011	bash	f4a82186
2025-06-25__19-44-02	lenny	1ff4d011	dash	f5780e2f
2025-06-25__19-44-02	lenny	1ff4d011	mksh	11284043
2025-06-25__19-44-02	lenny	1ff4d011	zsh	d0c4af83
2025-06-25__19-44-02	lenny	1ff4d011	bin/osh	177f2fcd
2025-06-25__19-44-02	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/_tmp/oils-ref-tar-test/oils-ref-0.33.0/_bin/osh	1aae7f43
2025-06-25__19-44-02	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.33.0/_bin/cxx-opt-sh/osh	7cbf04fb
2025-06-25__19-44-02	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.33.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	90a177bb
2025-06-25__19-44-02	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.33.0/_bin/cxx-opt-sh/osh-static	4de6c769
2025-06-25__19-44-02	lenny	1ff4d011	python2	31dd8d0b
