job_id	host_name	host_hash	sh_path	shell_hash
2025-08-30__20-12-10	hoover	ecba003d	bash	36833674
2025-08-30__20-12-10	hoover	ecba003d	dash	cea41b3e
2025-08-30__20-12-10	hoover	ecba003d	mksh	5acb0439
2025-08-30__20-12-10	hoover	ecba003d	zsh	66d12f9f
2025-08-30__20-12-10	hoover	ecba003d	bin/osh	e3b0cd05
2025-08-30__20-12-10	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/_tmp/oils-ref-tar-test/oils-ref-0.35.0/_bin/osh	abc6db8f
2025-08-30__20-12-10	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.35.0/_bin/cxx-opt-sh/osh	286712c9
2025-08-30__20-12-10	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.35.0/_bin/cxx-opt-sh/mycpp-nosouffle/osh	e835747b
2025-08-30__20-12-10	hoover	ecba003d	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.35.0/_bin/cxx-opt-sh/osh-static	ea64404f
2025-08-30__20-12-10	hoover	ecba003d	python2	c702e940
