status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	minor_faults	major_faults	swaps	in_block	out_block	signals	voluntary_ctx	involuntary_ctx	task_id	host_name	sh_path	workload
0	0.000999	0.000924	0.000000	3392	159	0	0	0	8	0	1	0	0	hoover	bash	hello-world
0	0.724879	0.506473	0.241119	3456	104514	0	0	0	16	0	1995	101	1	hoover	bash	bin-true
0	13.230921	9.042489	3.202997	32032	1883020	175	0	10656	25288	0	14308	1202	2	hoover	bash	configure.cpython
0	12.523293	9.002748	3.470751	35628	1755064	73	0	8000	35928	0	19048	1207	3	hoover	bash	configure.util-linux
0	3.772817	1.762118	0.678678	25760	339959	0	0	160	4472	0	2036	252	4	hoover	bash	configure.ocaml
0	0.036683	0.028376	0.008136	25532	5187	0	0	0	88	0	43	2	5	hoover	bash	configure.tcc
0	1.726582	0.970930	0.455645	32164	180714	6	0	592	3616	0	893	97	6	hoover	bash	configure.yash
0	0.011830	0.005263	0.006932	4948	2475	0	0	0	8	0	37	0	7	hoover	bash	abuild-print-help
0	0.000598	0.000593	0.000000	1720	90	0	0	0	8	0	1	0	8	hoover	dash	hello-world
0	0.226895	0.200776	0.026397	1672	51499	0	0	0	8	0	2873	22	9	hoover	dash	bin-true
0	12.832535	8.859477	3.261947	32292	1887452	0	0	0	25288	0	14075	953	10	hoover	dash	configure.cpython
0	13.619006	9.364100	4.535841	35748	1922495	1	0	8	35928	0	17093	1256	11	hoover	dash	configure.util-linux
0	3.171171	1.566342	0.589062	25776	321722	0	0	0	4472	0	2105	207	12	hoover	dash	configure.ocaml
0	0.036790	0.022535	0.013881	25408	4345	0	0	0	88	0	45	9	13	hoover	dash	configure.tcc
0	1.308904	0.951660	0.346577	32284	164010	0	0	0	3616	0	998	87	14	hoover	dash	configure.yash
0	0.007518	0.006332	0.000943	4280	1265	0	0	0	8	0	35	0	15	hoover	dash	abuild-print-help
0	0.051453	0.048259	0.000000	18064	3829	3	0	120	8	0	7	2	16	hoover	bin/osh	hello-world
0	1.853338	1.185464	0.831061	18104	808283	0	0	0	8	0	2002	101	17	hoover	bin/osh	bin-true
0	26.306537	18.351791	9.303129	32192	6164437	0	0	0	25288	0	12832	1540	18	hoover	bin/osh	configure.cpython
0	27.842859	20.458292	7.881385	35636	5124673	3	0	0	35944	0	17378	1666	19	hoover	bin/osh	configure.util-linux
0	3.922305	2.204173	0.848574	25792	591591	0	0	0	4472	0	1942	246	20	hoover	bin/osh	configure.ocaml
0	0.178730	0.145933	0.035086	25556	23476	0	0	0	88	0	45	7	21	hoover	bin/osh	configure.tcc
0	1.971220	1.446508	0.532386	32168	320236	0	0	0	3616	0	860	221	22	hoover	bin/osh	configure.yash
0	0.388187	0.361245	0.028434	22696	24322	0	0	0	8	0	40	10	23	hoover	bin/osh	abuild-print-help
0	0.002251	0.000000	0.002182	7068	399	0	0	0	16	0	1	0	24	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.25.0/_bin/cxx-opt-sh/osh	hello-world
0	1.370928	0.856578	0.496377	9652	143080	0	0	0	16	0	1995	144	25	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.25.0/_bin/cxx-opt-sh/osh	bin-true
0	12.461130	8.919771	3.491372	32296	2032219	0	0	0	25296	0	12880	1162	26	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.25.0/_bin/cxx-opt-sh/osh	configure.cpython
0	13.373041	9.414344	3.843379	35480	1901571	1	0	0	35952	0	17562	1355	27	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.25.0/_bin/cxx-opt-sh/osh	configure.util-linux
0	3.330356	1.592699	0.737119	25680	361396	0	0	0	4480	0	2003	280	28	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.25.0/_bin/cxx-opt-sh/osh	configure.ocaml
0	0.039997	0.030313	0.009811	25496	6056	0	0	0	96	0	46	3	29	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.25.0/_bin/cxx-opt-sh/osh	configure.tcc
0	1.330506	0.968302	0.344679	31424	184113	0	0	0	3624	0	857	122	30	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.25.0/_bin/cxx-opt-sh/osh	configure.yash
0	0.018398	0.014452	0.004428	9868	3431	0	0	0	16	0	34	1	31	hoover	/home/andy/git/oilshell/oil/../benchmark-data/src/oils-for-unix-0.25.0/_bin/cxx-opt-sh/osh	abuild-print-help
