status	elapsed_secs	user_secs	sys_secs	max_rss_KiB	task_id	host_name	sh_path	workload
0	0.002158	0.000000	0.002128	3228	0	broome	bash	hello-world
0	0.040637	0.035043	0.006962	4888	1	broome	bash	abuild-print-help
0	26.746117	19.650761	7.891098	26704	2	broome	bash	configure.cpython
0	6.104809	3.738083	1.449352	20800	3	broome	bash	configure.ocaml
0	0.100477	0.072081	0.031992	19916	4	broome	bash	configure.tcc
0	3.113952	2.222251	0.910309	23976	5	broome	bash	configure.yash
0	0.001167	0.000000	0.001100	1664	6	broome	dash	hello-world
0	0.018137	0.011537	0.007087	3784	7	broome	dash	abuild-print-help
0	26.794746	19.650041	8.047096	26692	8	broome	dash	configure.cpython
0	6.125272	3.673469	1.492923	20792	9	broome	dash	configure.ocaml
0	0.087448	0.070677	0.019181	19952	10	broome	dash	configure.tcc
0	3.009433	2.161968	0.854230	24048	11	broome	dash	configure.yash
0	0.070893	0.047803	0.023053	16580	12	broome	bin/osh	hello-world
0	0.828911	0.760719	0.074558	24060	13	broome	bin/osh	abuild-print-help
0	63.854931	42.609854	25.599212	48780	14	broome	bin/osh	configure.cpython
0	7.907110	5.066264	2.247038	20760	15	broome	bin/osh	configure.ocaml
0	0.451784	0.352411	0.113278	19996	16	broome	bin/osh	configure.tcc
0	4.778065	3.611898	1.292371	23916	17	broome	bin/osh	configure.yash
0	0.002848	0.002791	0.000000	3948	18	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.0/_bin/cxx-opt-sh/osh_eval.stripped	hello-world
0	0.098949	0.089080	0.011460	14228	19	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.0/_bin/cxx-opt-sh/osh_eval.stripped	abuild-print-help
0	50.755559	37.635488	14.756722	49924	20	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.0/_bin/cxx-opt-sh/osh_eval.stripped	configure.cpython
0	6.380124	3.742256	1.740633	20772	21	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.0/_bin/cxx-opt-sh/osh_eval.stripped	configure.ocaml
0	0.113633	0.088107	0.029571	20096	22	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.0/_bin/cxx-opt-sh/osh_eval.stripped	configure.tcc
0	3.342623	2.332571	1.056247	24028	23	broome	/home/andy/git/oilshell/oil/../benchmark-data/src/oil-native-0.13.0/_bin/cxx-opt-sh/osh_eval.stripped	configure.yash
