status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,task_type,task_arg
0,0.002038,0.000000,0.001976,3248,broome,8a85d07d,bash,9af8f89f,hello-world,hello-world
0,0.039691,0.035995,0.004967,4796,broome,8a85d07d,bash,9af8f89f,abuild,abuild-help
0,26.694569,19.515694,8.060275,26668,broome,8a85d07d,bash,9af8f89f,cpython,cpython-configure
0,6.065475,3.607750,1.545033,20916,broome,8a85d07d,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.091272,0.055658,0.036824,20012,broome,8a85d07d,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,3.132411,2.268012,0.881311,24012,broome,8a85d07d,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.001107,0.001075,0.000000,1644,broome,8a85d07d,dash,9ff48631,hello-world,hello-world
0,0.018304,0.016632,0.002342,3888,broome,8a85d07d,dash,9ff48631,abuild,abuild-help
0,26.791605,19.603430,8.100207,26612,broome,8a85d07d,dash,9ff48631,cpython,cpython-configure
0,6.027448,3.646727,1.421226,20772,broome,8a85d07d,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.080495,0.051503,0.029496,19836,broome,8a85d07d,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,3.003544,2.087774,0.919308,23980,broome,8a85d07d,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.058283,0.044908,0.012247,13120,broome,8a85d07d,osh,f6956f5f,hello-world,hello-world
0,0.895549,0.836320,0.064055,20132,broome,8a85d07d,osh,f6956f5f,abuild,abuild-help
0,61.030711,42.913184,22.200600,43856,broome,8a85d07d,osh,f6956f5f,cpython,cpython-configure
0,7.887250,5.276109,1.997968,20912,broome,8a85d07d,osh,f6956f5f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.365690,0.323422,0.047688,19948,broome,8a85d07d,osh,f6956f5f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,4.711761,3.529880,1.283848,23968,broome,8a85d07d,osh,f6956f5f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
