status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,task_type,task_arg
0,0.000783,0.000782,0.000000,3328,lenny,23f35694,bash,9af8f89f,hello-world,hello-world
0,0.015079,0.014760,0.000000,4768,lenny,23f35694,bash,9af8f89f,abuild,abuild-help
0,14.905099,11.305090,4.072066,26608,lenny,23f35694,bash,9af8f89f,cpython,cpython-configure
0,3.942653,2.182127,0.819258,20772,lenny,23f35694,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.071580,0.060769,0.011242,20224,lenny,23f35694,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,1.505728,1.114821,0.399607,24104,lenny,23f35694,bash,9af8f89f,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.000631,0.000603,0.000000,1680,lenny,23f35694,dash,9ff48631,hello-world,hello-world
0,0.006837,0.006654,0.000601,3808,lenny,23f35694,dash,9ff48631,abuild,abuild-help
0,15.312846,11.832853,4.036751,26624,lenny,23f35694,dash,9ff48631,cpython,cpython-configure
0,3.881537,2.156567,0.770416,20972,lenny,23f35694,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.039580,0.034858,0.005183,19952,lenny,23f35694,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,1.711224,1.217869,0.502847,24096,lenny,23f35694,dash,9ff48631,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.044525,0.043355,0.000000,13084,lenny,23f35694,osh,285c0332,hello-world,hello-world
0,0.563720,0.537090,0.029659,19904,lenny,23f35694,osh,285c0332,abuild,abuild-help
0,52.214209,39.216321,16.655801,43804,lenny,23f35694,osh,285c0332,cpython,cpython-configure
0,4.870901,2.976012,1.058038,20800,lenny,23f35694,osh,285c0332,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.198014,0.154852,0.048429,19976,lenny,23f35694,osh,285c0332,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,3.256126,2.518688,0.895997,24080,lenny,23f35694,osh,285c0332,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
