status,elapsed_secs,host_name,host_hash,shell_name,shell_hash,task_type,task_arg
0,0.0410,broome,e21a44c9,bash,6f84604a,abuild,abuild-help
0,24.5917,broome,e21a44c9,bash,6f84604a,cpython,cpython-configure
0,5.7129,broome,e21a44c9,bash,6f84604a,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.0853,broome,e21a44c9,bash,6f84604a,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,2.8156,broome,e21a44c9,bash,6f84604a,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.0173,broome,e21a44c9,dash,3ca0b057,abuild,abuild-help
0,24.9889,broome,e21a44c9,dash,3ca0b057,cpython,cpython-configure
0,5.5499,broome,e21a44c9,dash,3ca0b057,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.0705,broome,e21a44c9,dash,3ca0b057,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,2.7612,broome,e21a44c9,dash,3ca0b057,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.9666,broome,e21a44c9,osh,646fccf5,abuild,abuild-help
0,29.1318,broome,e21a44c9,osh,646fccf5,cpython,cpython-configure
0,9.5184,broome,e21a44c9,osh,646fccf5,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.3894,broome,e21a44c9,osh,646fccf5,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,6.2052,broome,e21a44c9,osh,646fccf5,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
