status,elapsed_secs,user_secs,sys_secs,max_rss_KiB,host_name,host_hash,shell_name,shell_hash,task_type,task_arg
0,0.003492,0.000000,0.003177,2944,flanders,63f04b74,bash,d685a43c,hello-world,hello-world
0,0.055940,0.038505,0.018693,4708,flanders,63f04b74,bash,d685a43c,abuild,abuild-help
0,30.557648,22.334668,9.654626,23576,flanders,63f04b74,bash,d685a43c,cpython,cpython-configure
0,6.290885,3.793752,1.587413,19260,flanders,63f04b74,bash,d685a43c,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.094113,0.061637,0.032171,18792,flanders,63f04b74,bash,d685a43c,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,3.336432,2.348000,1.009668,22644,flanders,63f04b74,bash,d685a43c,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.001302,0.000000,0.001295,1584,flanders,63f04b74,dash,2887d9e6,hello-world,hello-world
0,0.023154,0.016602,0.007879,3524,flanders,63f04b74,dash,2887d9e6,abuild,abuild-help
0,30.829870,22.969054,9.287669,23728,flanders,63f04b74,dash,2887d9e6,cpython,cpython-configure
0,6.252512,3.758904,1.567941,19184,flanders,63f04b74,dash,2887d9e6,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.096019,0.070105,0.027011,18836,flanders,63f04b74,dash,2887d9e6,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,3.217250,2.287481,0.948106,22592,flanders,63f04b74,dash,2887d9e6,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
0,0.068636,0.067516,0.000000,12528,flanders,63f04b74,osh,99341000,hello-world,hello-world
0,1.465006,1.428341,0.047019,19108,flanders,63f04b74,osh,99341000,abuild,abuild-help
0,113.873465,84.269557,37.948511,42712,flanders,63f04b74,osh,99341000,cpython,cpython-configure
0,9.151574,6.244981,2.301819,19304,flanders,63f04b74,osh,99341000,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/ocaml-4.06.0
0,0.508070,0.433508,0.090073,18852,flanders,63f04b74,osh,99341000,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/tcc-0.9.26
0,6.216992,4.891092,1.643644,22516,flanders,63f04b74,osh,99341000,configure,/home/andy/git/oilshell/oil/_deps/osh-runtime/yash-2.46
