job_id	host_name	host_hash	sh_path	shell_hash
2025-06-24__15-34-19	lenny	1ff4d011	bash	f4a82186
2025-06-24__15-34-19	lenny	1ff4d011	dash	f5780e2f
2025-06-24__15-34-19	lenny	1ff4d011	mksh	11284043
2025-06-24__15-34-19	lenny	1ff4d011	zsh	d0c4af83
2025-06-24__15-34-19	lenny	1ff4d011	bin/osh	4d1447a2
2025-06-24__15-34-19	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/_tmp/oils-ref-tar-test/oils-ref-0.32.0/_bin/osh	4a5e2be4
2025-06-24__15-34-19	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.32.0/_bin/cxx-opt-sh/osh	6aa83660
2025-06-24__15-34-19	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.32.0/_bin/cxx-opt-sh/mycpp-souffle/osh	1eeb7ba9
2025-06-24__15-34-19	lenny	1ff4d011	/home/andy/git/oils-for-unix/oils/../benchmark-data/src/oils-for-unix-0.32.0/_bin/cxx-opt-sh/osh-static	d6175fe3
2025-06-24__15-34-19	lenny	1ff4d011	python2	31dd8d0b
