status,elapsed_secs,platform_id,shell_id,path
0,0.0040,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/build.sh
0,0.0035,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/t4014-format-patch.sh
0,0.0038,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/functions
0,0.0067,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/configure-helper.sh
0,0.0057,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/abuild
0,0.0053,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/Build.sh
0,0.0046,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/t9300-fast-import.sh
0,0.0158,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/test-cmd-util.sh
0,0.0173,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/ltmain.sh
0,0.0333,lisa-8cad9f6e,bash-d685a43c,benchmarks/testdata/configure
0,0.0014,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/build.sh
0,0.0013,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/t4014-format-patch.sh
0,0.0014,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/functions
2,0.0010,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/configure-helper.sh
0,0.0018,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/abuild
0,0.0016,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/Build.sh
0,0.0013,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/t9300-fast-import.sh
2,0.0009,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/test-cmd-util.sh
0,0.0035,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/ltmain.sh
0,0.0067,lisa-8cad9f6e,dash-2887d9e6,benchmarks/testdata/configure
0,0.0028,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/build.sh
0,0.0019,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/t4014-format-patch.sh
0,0.0031,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/functions
1,0.0033,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/configure-helper.sh
0,0.0041,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/abuild
0,0.0034,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/Build.sh
0,0.0020,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/t9300-fast-import.sh
1,0.0037,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/test-cmd-util.sh
0,0.0121,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/ltmain.sh
0,0.0233,lisa-8cad9f6e,mksh-ae7d165b,benchmarks/testdata/configure
0,0.0088,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/build.sh
0,0.0319,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/t4014-format-patch.sh
0,0.0090,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/functions
0,0.0147,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/configure-helper.sh
0,0.0117,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/abuild
0,0.0297,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/Build.sh
0,0.0401,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/t9300-fast-import.sh
0,0.0400,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/test-cmd-util.sh
0,0.0424,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/ltmain.sh
0,0.1087,lisa-8cad9f6e,zsh-ca7b4198,benchmarks/testdata/configure
0,0.7542,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/build.sh
0,0.3294,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/t4014-format-patch.sh
0,0.9670,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/functions
0,1.2494,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/configure-helper.sh
0,1.7050,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/abuild
0,1.2579,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/Build.sh
0,0.2648,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/t9300-fast-import.sh
0,3.6051,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/test-cmd-util.sh
0,4.0129,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/ltmain.sh
0,15.0651,lisa-8cad9f6e,osh-aa0bdc02,benchmarks/testdata/configure
0,0.7414,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/build.sh
0,0.3168,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/t4014-format-patch.sh
0,0.9984,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/functions
0,1.2760,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/configure-helper.sh
0,1.7756,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/abuild
0,1.3170,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/Build.sh
0,0.2540,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/t9300-fast-import.sh
0,3.7217,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/test-cmd-util.sh
0,4.1163,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/ltmain.sh
0,15.8805,lisa-8cad9f6e,osh-45498eca,benchmarks/testdata/configure
