status,elapsed_secs,host,host_id,shell,shell_id,path
0,0.0095,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/build.sh
0,0.0071,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/t4014-format-patch.sh
0,0.0093,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/functions
0,0.0131,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/configure-helper.sh
0,0.0123,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/abuild
0,0.0103,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/Build.sh
0,0.0241,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/t9300-fast-import.sh
0,0.0440,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/test-cmd-util.sh
0,0.0651,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/ltmain.sh
0,0.1045,flanders,8cad9f6e,bash,d685a43c,benchmarks/testdata/configure
0,0.0032,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/build.sh
0,0.0024,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/t4014-format-patch.sh
0,0.0026,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/functions
2,0.0016,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/configure-helper.sh
0,0.0030,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/abuild
0,0.0029,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/Build.sh
0,0.0051,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/t9300-fast-import.sh
2,0.0016,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/test-cmd-util.sh
0,0.0067,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/ltmain.sh
0,0.0126,flanders,8cad9f6e,dash,2887d9e6,benchmarks/testdata/configure
0,0.0059,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/build.sh
0,0.0034,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/t4014-format-patch.sh
0,0.0060,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/functions
1,0.0117,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/configure-helper.sh
0,0.0094,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/abuild
0,0.0064,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/Build.sh
0,0.0078,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/t9300-fast-import.sh
1,0.0145,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/test-cmd-util.sh
0,0.0218,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/ltmain.sh
0,0.0437,flanders,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/configure
0,0.0232,flanders,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/build.sh
0,0.0656,flanders,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/t4014-format-patch.sh
0,0.0158,flanders,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/functions
