status,elapsed_secs,host,host_id,shell,shell_id,path
0,0.0041,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/build.sh
0,0.0033,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/t4014-format-patch.sh
0,0.0041,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/functions
0,0.0053,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/configure-helper.sh
0,0.0054,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/abuild
0,0.0052,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/Build.sh
0,0.0057,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/t9300-fast-import.sh
0,0.0175,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/test-cmd-util.sh
0,0.0173,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/ltmain.sh
0,0.0339,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/configure
0,0.0014,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/build.sh
0,0.0011,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/t4014-format-patch.sh
0,0.0013,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/functions
2,0.0009,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/configure-helper.sh
0,0.0017,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/abuild
0,0.0016,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/Build.sh
0,0.0013,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/t9300-fast-import.sh
2,0.0009,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/test-cmd-util.sh
0,0.0033,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/ltmain.sh
0,0.0067,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/configure
0,0.0027,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/build.sh
0,0.0019,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/t4014-format-patch.sh
0,0.0032,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/functions
1,0.0035,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/configure-helper.sh
0,0.0046,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/abuild
0,0.0032,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/Build.sh
0,0.0021,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/t9300-fast-import.sh
1,0.0035,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/test-cmd-util.sh
