status,elapsed_secs,host_name,host_hash,shell_name,shell_hash,path
0,0.0038,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/build.sh
0,0.0056,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/t4014-format-patch.sh
0,0.0040,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/functions
0,0.0053,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/configure-helper.sh
0,0.0057,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/abuild
0,0.0066,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/Build.sh
0,0.0047,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/t9300-fast-import.sh
0,0.0165,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/test-cmd-util.sh
0,0.0171,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/ltmain.sh
0,0.0336,lisa,8cad9f6e,bash,d685a43c,benchmarks/testdata/configure
0,0.0013,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/build.sh
0,0.0013,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/t4014-format-patch.sh
0,0.0019,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/functions
2,0.0009,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/configure-helper.sh
0,0.0016,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/abuild
0,0.0017,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/Build.sh
0,0.0012,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/t9300-fast-import.sh
2,0.0009,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/test-cmd-util.sh
0,0.0033,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/ltmain.sh
0,0.0068,lisa,8cad9f6e,dash,2887d9e6,benchmarks/testdata/configure
0,0.0025,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/build.sh
0,0.0017,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/t4014-format-patch.sh
0,0.0040,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/functions
1,0.0034,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/configure-helper.sh
0,0.0042,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/abuild
0,0.0030,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/Build.sh
0,0.0025,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/t9300-fast-import.sh
1,0.0049,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/test-cmd-util.sh
0,0.0105,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/ltmain.sh
0,0.0209,lisa,8cad9f6e,mksh,ae7d165b,benchmarks/testdata/configure
0,0.0080,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/build.sh
0,0.0349,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/t4014-format-patch.sh
0,0.0076,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/functions
0,0.0142,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/configure-helper.sh
0,0.0120,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/abuild
0,0.0303,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/Build.sh
0,0.0399,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/t9300-fast-import.sh
0,0.0395,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/test-cmd-util.sh
0,0.0424,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/ltmain.sh
0,0.1113,lisa,8cad9f6e,zsh,ca7b4198,benchmarks/testdata/configure
0,0.7094,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/build.sh
0,0.3211,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/t4014-format-patch.sh
0,0.9428,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/functions
0,1.1896,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/configure-helper.sh
0,1.6281,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/abuild
0,1.2352,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/Build.sh
0,0.2515,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/t9300-fast-import.sh
0,3.4415,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/test-cmd-util.sh
0,3.9300,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/ltmain.sh
0,14.7933,lisa,8cad9f6e,osh,54cd1ea0,benchmarks/testdata/configure
0,0.7291,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/build.sh
0,0.3019,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/t4014-format-patch.sh
0,0.9582,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/functions
0,1.2272,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/configure-helper.sh
0,1.6432,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/abuild
0,1.2801,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/Build.sh
0,0.2677,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/t9300-fast-import.sh
0,3.6158,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/test-cmd-util.sh
0,4.1103,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/ltmain.sh
0,15.2288,lisa,8cad9f6e,osh,312e02d3,benchmarks/testdata/configure
