host_name	join_id	num_live	max_survived	num_allocated	num_in_heap	num_in_pool_1	num_in_pool_2	bytes_allocated	num_gc_points	num_collections	gc_threshold	num_growths	max_gc_millis	total_gc_millis	roots_capacity	objs_capacity
hoover	gc-16	4090	0	4090	732	2058	1300	276742	2	0	50000	0	0.0	0.0	1024	10240
hoover	gc-17	15244	3114	156084	17806	73529	64749	5035532	3008	3	50000	0	0.0	0.0	1024	10240
hoover	gc-18	40124	29090	1771052	99454	878330	793268	26422461	26440	62	50000	0	0.0	0.0	1024	10240
hoover	gc-19	41865	66493	2761192	128367	1321698	1311127	30175187	34273	43	132986	1	0.0	0.0	1024	10240
hoover	gc-20	42919	5421	136193	7641	64445	64107	3122597	1420	2	50000	0	0.0	0.0	1024	10240
hoover	gc-21	30926	0	30926	1743	14765	14418	1383912	271	0	50000	0	0.0	0.0	1024	10240
hoover	gc-22	8317	6906	140450	7641	68708	64101	3202534	2094	3	50000	0	0.0	0.0	1024	10240
hoover	gc-23	65960	42144	117572	4999	54907	57666	3021674	277	3	84288	1	0.0	0.0	1024	10240
hoover	gc-24	4090	0	4090	732	2058	1300	276822	2	0	50000	0	0.0	0.0	1024	10240
hoover	gc-25	15244	3114	156084	17806	73529	64749	5035612	3008	3	50000	0	0.0	0.0	1024	10240
hoover	gc-26	40124	29090	1771052	99454	878330	793268	26422541	26440	62	50000	0	0.0	0.0	1024	10240
hoover	gc-27	41865	66493	2761191	128366	1321698	1311127	30174866	34273	43	132986	1	0.0	0.0	1024	10240
hoover	gc-28	42919	5421	136193	7641	64445	64107	3122677	1420	2	50000	0	0.0	0.0	1024	10240
hoover	gc-29	30926	0	30926	1743	14765	14418	1383992	271	0	50000	0	0.0	0.0	1024	10240
hoover	gc-30	8317	6906	140450	7641	68708	64101	3202614	2094	3	50000	0	0.0	0.0	1024	10240
hoover	gc-31	65960	42144	117572	4999	54907	57666	3021754	277	3	84288	1	0.0	0.0	1024	10240
